[2022-12-11 22:52:30:45962][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [5회] '창빈 형 어머님 사랑해요!!' 가족들과의 작전을 미션 성공!#KINGDOMWEEK: NO+ EP.5 | Mnet 210821 방송
[2022-12-11 22:52:30:45963][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/pFgBPwKQ79M/default.jpg
[2022-12-11 22:52:30:45963][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : DOTkDgmaYaU
[2022-12-11 22:52:30:45963][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [5회] '맥락없는 모닝 TMI' {버디캐처} 기상 미션!#KINGDOMWEEK: NO+ EP.5 | Mnet 210821 방송
[2022-12-11 22:52:30:45964][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/DOTkDgmaYaU/default.jpg
[2022-12-11 22:52:30:45964][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : gpOzuXypCAY
[2022-12-11 22:52:30:45964][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [5회/예고] SKZ 우정 워크숍 {버디캐처} 대망의 최종 선택!#KINGDOMWEEK: NO+ EP.5
[2022-12-11 22:52:30:45965][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/gpOzuXypCAY/default.jpg
[2022-12-11 22:52:30:45965][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : -5yWtQWqCKU
[2022-12-11 22:52:30:45965][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [4회] '찐친 1인' {버디캐처} 중간 선택의 시간#KINGDOMWEEK: NO+ EP.4 | Mnet 210820 방송
[2022-12-11 22:52:30:45965][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/-5yWtQWqCKU/default.jpg
[2022-12-11 22:52:30:45966][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : k-XfAKPB8NM
[2022-12-11 22:52:30:45966][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [4회] '각양각색 잠옷의 향연' 룸메이트 잠옷 바꿔입기#KINGDOMWEEK: NO+ EP.4 | Mnet 210820 방송
[2022-12-11 22:52:30:45966][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/k-XfAKPB8NM/default.jpg
[2022-12-11 22:52:30:45966][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : s1RTUvISiBw
[2022-12-11 22:52:30:45966][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [4회] '끊임 없는 의심' 억울한 버디캐처? or 열연 중인 머니캐처?#KINGDOMWEEK: NO+ EP.4 | Mnet 210820 방송
[2022-12-11 22:52:30:45966][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/s1RTUvISiBw/default.jpg
[2022-12-11 22:52:30:45967][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : oCtJMPH93Bk
[2022-12-11 22:52:30:45967][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [4회] '너 나 버리는거야?' 룸메시그널 중 벌어진 사랑과 전쟁#KINGDOMWEEK: NO+ EP.4 | Mnet 210820 방송
[2022-12-11 22:52:30:45967][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/oCtJMPH93Bk/default.jpg
[2022-12-11 22:52:30:45967][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : RKJRbjUcjq0
[2022-12-11 22:52:30:45967][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] 4회] '맞는 것 같은데..?' 힌트 영상을 확인하는 승민과 아이엔#KINGDOMWEEK: NO+ EP.4 | Mnet 210820 방송
[2022-12-11 22:52:30:45967][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/RKJRbjUcjq0/default.jpg
[2022-12-11 22:52:30:45968][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : VzKTN6OlXC0
[2022-12-11 22:52:30:45968][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [4회] '물총 : 레전더리 워' 코끼리노 vs 소이엔, 최후의 승자는?!#KINGDOMWEEK: NO+ EP.4 | Mnet 210820 방송
[2022-12-11 22:52:30:45968][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/VzKTN6OlXC0/default.jpg
[2022-12-11 22:52:30:45969][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : im1GFxt4Q-w
[2022-12-11 22:52:30:45969][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [예고/4회] '좀 솔직해져봐' 파국으로 치닫는 우정 워크숍 {버디캐쳐}#KINGDOMWEEK: NO+ EP.4
[2022-12-11 22:52:30:45969][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/im1GFxt4Q-w/default.jpg
[2022-12-11 22:52:30:45969][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : WTeWNE6M3x0
[2022-12-11 22:52:30:45969][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [3회] '뽁데렐라 컴백' 그대에게 물총을 -결승전-#KINGDOMWEEK: NO+ EP.3 | Mnet 210819 방송
[2022-12-11 22:52:30:45969][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/WTeWNE6M3x0/default.jpg
[2022-12-11 22:52:30:45969][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : xOMlXhrViP8
[2022-12-11 22:52:30:45969][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [3회]'SKZ 최강 하체' 멤버들 견인하는 코끼리노#KINGDOMWEEK: NO+ EP.3 | Mnet 210819 방송
[2022-12-11 22:52:30:45969][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/xOMlXhrViP8/default.jpg
[2022-12-11 22:52:30:45969][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : TsUPSezNH3I
[2022-12-11 22:52:30:45970][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [3회] '솟아나라 힘!!' 한의 파트너가 되기 위한 스쿼트 배틀#KINGDOMWEEK: NO+ EP.3 | Mnet 210819 방송
[2022-12-11 22:52:30:45970][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/TsUPSezNH3I/default.jpg
[2022-12-11 22:52:30:45970][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : U_5PqjS2gt4
[2022-12-11 22:52:30:45970][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [3회] '후웅(^3^)♡' 아찔한 큐트 어택과 뜻 밖의 듀엣 공연#KINGDOMWEEK: NO+ EP.3 | Mnet 210819 방송
[2022-12-11 22:52:30:45970][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/U_5PqjS2gt4/default.jpg
[2022-12-11 22:52:30:45972][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : z_f81yVkY6o
[2022-12-11 22:52:30:45974][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [3회] '엄마 찬스 되나요?' {SKZ 버디캐처} 정체 뽑기#KINGDOMWEEK: NO+ EP.3 | Mnet 210819 방송
[2022-12-11 22:52:30:45975][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/z_f81yVkY6o/default.jpg
[2022-12-11 22:52:30:45975][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : Qb93hgx7rhY
[2022-12-11 22:52:30:45975][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [3회] '소문난 금슬(?) 맛집' 슼둥가족 부부 지성♥현진#KINGDOMWEEK: NO+ EP.3 | Mnet 210819 방송
[2022-12-11 22:52:30:45975][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/Qb93hgx7rhY/default.jpg
[2022-12-11 22:52:30:45975][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : x_8kICmYI0U
[2022-12-11 22:52:30:45975][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [예고/3회] '(의심)나 안해!!!(불신)' 스릴 넘치는 SKZ 우정 워크숍#KINGDOMWEEK: NO+ EP.3
[2022-12-11 22:52:30:45975][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/x_8kICmYI0U/default.jpg
[2022-12-11 22:52:30:45975][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : UmZeIxVchqI
[2022-12-11 22:52:30:45975][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [2회] 'STAY 사랑해!' 스키즈의 힘이자 이유, 스테이#KINGDOMWEEK: NO+ EP.2 | Mnet 210818 방송
[2022-12-11 22:52:30:45975][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/UmZeIxVchqI/default.jpg
[2022-12-11 22:52:30:45976][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : PWx-Y0W3zhQ
[2022-12-11 22:52:30:45976][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [2회] '칭찬 감옥에 가두자!' 스키즈 1호 팬은 스키즈#KINGDOMWEEK: NO+ EP.2 | Mnet 210818 방송
[2022-12-11 22:52:30:45976][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/PWx-Y0W3zhQ/default.jpg
[2022-12-11 22:52:30:45976][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : nHPQRr02t5U
[2022-12-11 22:52:30:45976][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [2회] '알콩♡달콩' 이게 바로 절친의 티키타카 @킹덤#KINGDOMWEEK: NO+ EP.2 | Mnet 210818 방송
[2022-12-11 22:52:30:45976][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/nHPQRr02t5U/default.jpg
[2022-12-11 22:52:30:45976][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : uU9KLGb8EeU
[2022-12-11 22:52:30:45977][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [2회] '달콤살벌' 평소_리노_썰_푼다.SSUL#KINGDOMWEEK: NO+ EP.2 | Mnet 210818 방송
[2022-12-11 22:52:30:45977][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/uU9KLGb8EeU/default.jpg
[2022-12-11 22:52:30:45977][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : lybbHTa8HLI
[2022-12-11 22:52:30:45977][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [2회] '어후우 미안해요!↗' 각성 후, 저세상 고음을 얻은 한#KINGDOMWEEK: NO+ EP.2 | Mnet 210818 방송
[2022-12-11 22:52:30:45977][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/lybbHTa8HLI/default.jpg
[2022-12-11 22:52:30:45977][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : LJPaJExxX7k
[2022-12-11 22:52:30:45977][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [2회] '휴식은 사치!' 흥키즈표 걸그룹 안무 대기실 공연#KINGDOMWEEK: NO+ EP.2 | Mnet 210818 방송
[2022-12-11 22:52:30:45977][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/LJPaJExxX7k/default.jpg
[2022-12-11 22:52:30:45977][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : 03dJSKOOZv4
[2022-12-11 22:52:30:45978][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [1회] '라이언 형님♥' 상상도 못한 ㄴ(ㅇ0ㅇ)ㄱ {신뚜두뚜두} 반응#KINGDOMWEEK: NO+ EP.1 | Mnet 210817 방송
[2022-12-11 22:52:30:45978][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/03dJSKOOZv4/default.jpg
[2022-12-11 22:52:30:45978][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : mKRvuLuBv90
[2022-12-11 22:52:30:45978][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [1회] '美친 디테일' 멤버들도 몰랐던 악마의 비밀#KINGDOMWEEK: NO+ EP.1 | Mnet 210817 방송
[2022-12-11 22:52:30:45978][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/mKRvuLuBv90/default.jpg
[2022-12-11 22:52:30:45979][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : AIvOXuyR58I
[2022-12-11 22:52:30:45979][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [1회] '아이가..있었는데요..없었습니다..?' 무대를 빛낸 민준♥#KINGDOMWEEK: NO+ EP.1 | Mnet 210817 방송
[2022-12-11 22:52:30:45979][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/AIvOXuyR58I/default.jpg
[2022-12-11 22:52:30:45979][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : CnDGwEsEiSw
